epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.3825,2.32212,4.437,1.51545,0.00483,0.5,0.02613,0.01165,2.14881,3.79015,1.40095,0.000548258,0.000548258,0.000548258
2,29.7271,2.23096,3.403,1.47597,0.37316,0.35393,0.28838,0.11412,2.20737,2.42033,1.54817,0.001093,0.001093,0.001093
3,43.9685,2.23426,3.2286,1.46001,0.33629,0.38202,0.27982,0.11047,2.23039,2.35106,1.48628,0.00162673,0.00162673,0.00162673
4,58.1248,2.17773,2.83914,1.4797,0.36297,0.46096,0.31474,0.12005,2.14778,2.33122,1.49011,0.00161749,0.00161749,0.00161749
5,72.1364,2.20518,2.58006,1.46822,0.32902,0.32584,0.286,0.09999,2.24979,2.11861,1.47873,0.00160099,0.00160099,0.00160099
6,86.1124,2.16074,2.39821,1.48756,0.28237,0.38202,0.25301,0.08456,2.26885,2.12297,1.55736,0.00158448,0.00158448,0.00158448
7,100.134,2.16092,2.21446,1.49489,0.39561,0.42697,0.36132,0.12565,2.19124,1.92424,1.46004,0.00156798,0.00156798,0.00156798
8,114.03,2.12457,1.99947,1.47544,0.48924,0.46629,0.4284,0.16345,2.15028,2.02222,1.5267,0.00155148,0.00155148,0.00155148
9,128.234,2.08849,1.97258,1.41236,0.49943,0.47191,0.40367,0.14953,2.17198,1.85031,1.51029,0.00153497,0.00153497,0.00153497
10,142.606,2.09182,1.9276,1.4071,0.4196,0.45506,0.37101,0.13429,2.15248,1.83199,1.456,0.00151847,0.00151847,0.00151847
11,156.79,2.055,1.81847,1.45436,0.61652,0.46067,0.51531,0.20383,2.1036,1.75903,1.5038,0.00150197,0.00150197,0.00150197
12,171.103,2.02703,1.78038,1.41971,0.59104,0.44657,0.47019,0.19084,2.09087,1.62675,1.455,0.00148546,0.00148546,0.00148546
13,185.071,2.07611,1.72854,1.43671,0.46715,0.41374,0.40997,0.15562,2.13508,1.76464,1.51792,0.00146896,0.00146896,0.00146896
14,198.913,2.00399,1.76002,1.40768,0.51267,0.47753,0.46028,0.1841,2.02943,1.6594,1.44438,0.00145246,0.00145246,0.00145246
15,213.299,1.97991,1.69324,1.40598,0.50555,0.50562,0.46631,0.19643,2.12545,1.61565,1.49073,0.00143595,0.00143595,0.00143595
16,227.434,1.97404,1.63973,1.36037,0.51146,0.47753,0.45796,0.18269,2.0731,1.78239,1.47727,0.00141945,0.00141945,0.00141945
17,241.536,1.95581,1.60797,1.37168,0.60563,0.49438,0.542,0.23231,1.98945,1.60395,1.41887,0.00140295,0.00140295,0.00140295
18,255.847,1.94842,1.54085,1.31091,0.62482,0.46781,0.5035,0.21535,2.071,1.59439,1.40573,0.00138644,0.00138644,0.00138644
19,270.115,1.86837,1.50144,1.31052,0.47159,0.53933,0.49659,0.20248,2.06951,1.58219,1.45739,0.00136994,0.00136994,0.00136994
20,284.238,1.93363,1.53361,1.35522,0.47993,0.46629,0.3788,0.15892,2.09187,1.86446,1.4337,0.00135344,0.00135344,0.00135344
21,298.576,1.84794,1.52036,1.31205,0.65266,0.51124,0.55441,0.24212,2.06584,1.48784,1.43698,0.00133693,0.00133693,0.00133693
22,312.537,1.88879,1.47831,1.32496,0.56817,0.59875,0.58282,0.2415,2.01303,1.46773,1.4431,0.00132043,0.00132043,0.00132043
23,326.807,1.83009,1.37622,1.31935,0.57759,0.62991,0.56228,0.23598,2.0544,1.42155,1.43211,0.00130393,0.00130393,0.00130393
24,340.996,1.85516,1.3781,1.2886,0.53083,0.57303,0.5234,0.21045,2.07411,1.52575,1.46099,0.00128742,0.00128742,0.00128742
25,354.883,1.81599,1.35781,1.30682,0.54406,0.55056,0.52543,0.20603,2.12464,1.56537,1.48785,0.00127092,0.00127092,0.00127092
26,368.787,1.8426,1.3846,1.281,0.58472,0.55618,0.56641,0.24228,1.98148,1.4538,1.43184,0.00125442,0.00125442,0.00125442
27,382.57,1.80678,1.31012,1.27133,0.55417,0.48185,0.50501,0.18489,2.17522,1.54443,1.4819,0.00123791,0.00123791,0.00123791
28,396.453,1.75048,1.33608,1.25709,0.60046,0.54882,0.55621,0.22542,2.08326,1.50974,1.47018,0.00122141,0.00122141,0.00122141
29,410.441,1.80936,1.35597,1.25735,0.74323,0.47191,0.54321,0.22638,2.09281,1.51661,1.46231,0.00120491,0.00120491,0.00120491
30,424.301,1.76275,1.29249,1.22689,0.54793,0.57303,0.53094,0.21483,2.07028,1.58091,1.44196,0.0011884,0.0011884,0.0011884
31,438.432,1.76664,1.27893,1.25175,0.63437,0.61236,0.59056,0.2463,2.0123,1.4105,1.43732,0.0011719,0.0011719,0.0011719
32,452.776,1.74367,1.25915,1.24172,0.62761,0.55864,0.58935,0.22543,2.08361,1.44863,1.42628,0.0011554,0.0011554,0.0011554
33,466.734,1.74788,1.24545,1.24483,0.57599,0.54949,0.54058,0.2239,2.07444,1.47974,1.45886,0.00113889,0.00113889,0.00113889
34,480.647,1.70201,1.19224,1.20729,0.63592,0.58989,0.58327,0.23588,2.1085,1.44155,1.48416,0.00112239,0.00112239,0.00112239
35,494.598,1.70347,1.15648,1.22979,0.58496,0.58989,0.56245,0.23613,2.10889,1.38492,1.4844,0.00110589,0.00110589,0.00110589
36,508.542,1.70285,1.1918,1.22694,0.68318,0.53371,0.55281,0.2314,2.04001,1.35617,1.44818,0.00108938,0.00108938,0.00108938
37,522.623,1.70217,1.16171,1.19282,0.65948,0.5549,0.58725,0.25674,2.01623,1.36778,1.40798,0.00107288,0.00107288,0.00107288
38,536.702,1.66357,1.11327,1.20424,0.78948,0.52671,0.63989,0.25235,2.10595,1.37852,1.46081,0.00105638,0.00105638,0.00105638
39,550.649,1.68201,1.13696,1.20537,0.60771,0.61798,0.61972,0.26005,1.97377,1.34868,1.40938,0.00103987,0.00103987,0.00103987
40,564.831,1.68602,1.13251,1.21386,0.64574,0.58427,0.59414,0.23612,2.05189,1.3404,1.47507,0.00102337,0.00102337,0.00102337
41,578.921,1.68124,1.12514,1.21222,0.67358,0.59551,0.63917,0.27499,2.05143,1.32901,1.46966,0.00100687,0.00100687,0.00100687
42,593.185,1.61089,1.09778,1.18471,0.65529,0.52809,0.55301,0.23136,2.059,1.47023,1.45385,0.000990365,0.000990365,0.000990365
43,607.304,1.61133,1.11082,1.15847,0.64736,0.57303,0.59831,0.25633,2.05214,1.41226,1.47094,0.000973861,0.000973861,0.000973861
44,621.115,1.60194,1.1232,1.17796,0.63304,0.52809,0.57718,0.24888,2.04769,1.40716,1.46533,0.000957358,0.000957358,0.000957358
45,635.145,1.64924,1.06038,1.19081,0.59517,0.60112,0.56732,0.23655,2.08971,1.40038,1.49086,0.000940855,0.000940855,0.000940855
46,648.963,1.59733,1.06052,1.16527,0.65592,0.57303,0.60084,0.26739,2.02045,1.37112,1.43086,0.000924352,0.000924352,0.000924352
47,662.906,1.60085,1.051,1.15303,0.67527,0.63483,0.65321,0.28107,2.00609,1.29137,1.41936,0.000907848,0.000907848,0.000907848
48,677.023,1.57549,1.03504,1.16025,0.64151,0.59551,0.60775,0.27092,2.06571,1.42403,1.46677,0.000891345,0.000891345,0.000891345
49,690.814,1.58571,1.06995,1.1695,0.63289,0.61017,0.62672,0.26093,2.04975,1.38581,1.44237,0.000874842,0.000874842,0.000874842
50,704.513,1.5453,0.99421,1.12885,0.60304,0.6401,0.60844,0.26908,2.03257,1.27547,1.43534,0.000858338,0.000858338,0.000858338
51,718.197,1.53548,0.97965,1.13265,0.59645,0.56742,0.51914,0.22549,2.09975,1.4218,1.48036,0.000841835,0.000841835,0.000841835
52,731.89,1.52602,0.96372,1.12017,0.70506,0.55056,0.61583,0.26194,2.05813,1.37668,1.485,0.000825332,0.000825332,0.000825332
53,745.926,1.48735,0.93304,1.11532,0.6898,0.6236,0.6362,0.2798,1.99319,1.28971,1.42742,0.000808828,0.000808828,0.000808828
54,759.915,1.48906,0.91417,1.1209,0.68236,0.5618,0.57281,0.24967,2.11489,1.39739,1.53476,0.000792325,0.000792325,0.000792325
55,773.761,1.50365,0.93095,1.14323,0.66113,0.57865,0.60272,0.26187,2.07995,1.30952,1.49666,0.000775822,0.000775822,0.000775822
56,787.57,1.50442,0.96057,1.11904,0.68202,0.64045,0.60778,0.26042,2.11417,1.34021,1.53362,0.000759318,0.000759318,0.000759318
57,801.442,1.50109,0.91483,1.11758,0.74457,0.58989,0.6264,0.26965,2.06118,1.30732,1.46161,0.000742815,0.000742815,0.000742815
58,815.444,1.46457,0.92181,1.09923,0.67919,0.58989,0.62078,0.275,2.05961,1.30424,1.49409,0.000726312,0.000726312,0.000726312
59,829.814,1.49962,0.93545,1.11071,0.70564,0.55216,0.60231,0.25762,2.07368,1.33411,1.47758,0.000709809,0.000709809,0.000709809
60,843.755,1.40506,0.88236,1.08334,0.69789,0.59698,0.61868,0.26114,2.07882,1.3117,1.52462,0.000693305,0.000693305,0.000693305
61,857.682,1.44376,0.87119,1.08359,0.64579,0.64607,0.62632,0.27198,2.09671,1.22706,1.56794,0.000676802,0.000676802,0.000676802
62,871.629,1.47499,0.88603,1.08484,0.69086,0.62776,0.65121,0.26864,2.09574,1.30571,1.49678,0.000660299,0.000660299,0.000660299
63,885.647,1.45426,0.89838,1.09316,0.73828,0.63392,0.66495,0.27634,2.06886,1.24911,1.50834,0.000643795,0.000643795,0.000643795
64,899.585,1.40406,0.86562,1.07335,0.70015,0.63483,0.65079,0.27674,2.0625,1.25615,1.49129,0.000627292,0.000627292,0.000627292
65,913.846,1.38588,0.84555,1.07116,0.69445,0.61236,0.62107,0.24733,2.13889,1.31768,1.55706,0.000610789,0.000610789,0.000610789
66,928.227,1.44347,0.8696,1.10854,0.66272,0.61798,0.62944,0.26126,2.11256,1.31253,1.49617,0.000594286,0.000594286,0.000594286
67,942.199,1.39698,0.87298,1.06926,0.70598,0.61798,0.63187,0.2678,2.07519,1.31437,1.50636,0.000577782,0.000577782,0.000577782
68,956.137,1.38197,0.82853,1.05898,0.69407,0.6236,0.61721,0.26535,2.10253,1.24763,1.55379,0.000561279,0.000561279,0.000561279
69,970.489,1.38207,0.82683,1.07981,0.75897,0.58378,0.64745,0.2566,2.1216,1.29731,1.52545,0.000544776,0.000544776,0.000544776
70,984.68,1.37802,0.82723,1.06988,0.7364,0.65169,0.66682,0.28286,2.06538,1.23266,1.47382,0.000528272,0.000528272,0.000528272
71,998.818,1.31951,0.78265,1.04567,0.71055,0.6068,0.61676,0.26882,2.11835,1.27957,1.5058,0.000511769,0.000511769,0.000511769
72,1013.17,1.33129,0.77834,1.05307,0.69278,0.60674,0.594,0.25402,2.14376,1.31416,1.52378,0.000495266,0.000495266,0.000495266
73,1027.47,1.33171,0.77679,1.05997,0.71627,0.64607,0.64988,0.26518,2.15561,1.25821,1.55509,0.000478762,0.000478762,0.000478762
74,1041.63,1.31398,0.74835,1.03864,0.803,0.61798,0.69858,0.28779,2.05405,1.23099,1.49798,0.000462259,0.000462259,0.000462259
75,1055.44,1.32202,0.78333,1.04101,0.64641,0.63676,0.64784,0.27379,2.12485,1.28266,1.53297,0.000445756,0.000445756,0.000445756
76,1069.34,1.33798,0.77763,1.03066,0.66506,0.63483,0.63027,0.26159,2.14222,1.2617,1.56579,0.000429253,0.000429253,0.000429253
77,1083.47,1.27749,0.74688,1.0154,0.72081,0.59551,0.64015,0.28294,2.08519,1.24636,1.51039,0.000412749,0.000412749,0.000412749
78,1098,1.28909,0.751,1.02815,0.71323,0.64045,0.66851,0.2873,2.09728,1.21445,1.52423,0.000396246,0.000396246,0.000396246
79,1112.43,1.27458,0.73467,1.0261,0.77045,0.62226,0.66908,0.29064,2.09303,1.25881,1.52401,0.000379743,0.000379743,0.000379743
80,1126.55,1.2649,0.74698,1.02426,0.68145,0.63695,0.66264,0.28147,2.13675,1.27977,1.56323,0.000363239,0.000363239,0.000363239
81,1140.73,1.22016,0.72456,0.99731,0.73754,0.65169,0.67832,0.2858,2.10051,1.23294,1.57603,0.000346736,0.000346736,0.000346736
82,1154.97,1.2349,0.70567,1.01429,0.75218,0.57975,0.62718,0.26349,2.15041,1.31619,1.59102,0.000330233,0.000330233,0.000330233
83,1168.86,1.21048,0.71132,1.00336,0.77486,0.58989,0.65186,0.27454,2.14701,1.26563,1.59694,0.000313729,0.000313729,0.000313729
84,1183.21,1.20834,0.71445,1.01332,0.72322,0.6236,0.64276,0.26151,2.13484,1.25485,1.59393,0.000297226,0.000297226,0.000297226
85,1197.81,1.20256,0.70812,0.99805,0.65842,0.64607,0.64451,0.26038,2.16671,1.26647,1.57353,0.000280723,0.000280723,0.000280723
86,1211.81,1.21289,0.72776,1.00882,0.7438,0.59551,0.65132,0.26693,2.14183,1.29188,1.56276,0.00026422,0.00026422,0.00026422
87,1225.75,1.16332,0.70161,0.99171,0.75028,0.59078,0.63892,0.2729,2.1263,1.29035,1.54831,0.000247716,0.000247716,0.000247716
88,1239.89,1.21024,0.69125,0.99722,0.75251,0.61496,0.65377,0.27659,2.11356,1.26718,1.53728,0.000231213,0.000231213,0.000231213
89,1254.06,1.21634,0.69796,1.00489,0.71863,0.64567,0.65641,0.27369,2.12885,1.24296,1.56297,0.00021471,0.00021471,0.00021471
90,1268.18,1.16689,0.68736,0.98659,0.70506,0.63483,0.64517,0.27341,2.12451,1.28879,1.56305,0.000198206,0.000198206,0.000198206
91,1281.93,1.21366,0.67802,1.01271,0.68997,0.60015,0.61372,0.25056,2.15575,1.34198,1.59119,0.000181703,0.000181703,0.000181703
92,1295.79,1.12655,0.64135,0.9764,0.73179,0.63483,0.63957,0.2673,2.13636,1.24773,1.58666,0.0001652,0.0001652,0.0001652
93,1309.26,1.09688,0.61492,0.97166,0.73088,0.64081,0.64174,0.26974,2.12766,1.27588,1.57172,0.000148696,0.000148696,0.000148696
94,1322.89,1.1099,0.62578,0.96591,0.75989,0.65169,0.66458,0.27741,2.12121,1.24612,1.55847,0.000132193,0.000132193,0.000132193
95,1336.8,1.07989,0.60114,0.9613,0.72507,0.66854,0.66397,0.2804,2.12467,1.24419,1.57498,0.00011569,0.00011569,0.00011569
96,1350.35,1.06998,0.59877,0.94854,0.73007,0.63818,0.65874,0.27745,2.13996,1.23083,1.59048,9.91865e-05,9.91865e-05,9.91865e-05
97,1363.86,1.06773,0.58301,0.96412,0.77608,0.6231,0.65886,0.26965,2.15899,1.23721,1.59606,8.26832e-05,8.26832e-05,8.26832e-05
98,1377.78,1.05738,0.59275,0.95558,0.7482,0.63483,0.65612,0.27212,2.16337,1.2421,1.59982,6.61799e-05,6.61799e-05,6.61799e-05
99,1391.51,1.08044,0.59071,0.95756,0.74019,0.63483,0.65963,0.2699,2.17371,1.25248,1.59701,4.96766e-05,4.96766e-05,4.96766e-05
100,1405.63,1.07265,0.59366,0.9546,0.73354,0.63483,0.65876,0.27622,2.16579,1.25098,1.59622,3.31733e-05,3.31733e-05,3.31733e-05
